DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Stop frame,empty frames,Heartrate (BPM),ground truth,error
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,111,WE00041,D008,LO002,CO6,13,v1.3.1(feb22-region),328.6005358,4087.575694,6719,30.43668045,5838,0.274146493,0.436857985,124412,24251,0.517190058,130,0,156,153.5,2.5
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,54,WE00067,F006,LO001,CO6,13,v1.3.1(feb22-region),328.6110967,3244.388542,7714,35.69769485,7510,0.333478239,0.600943711,115817,22327,0.809955924,130,0,156,154.8,1.2
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,92,WE00023,B002,LO002,CO6,13,v1.3.1(feb22-region),328.6396907,18214.33444,7241,27.94479818,8277,0.51926824,0.804662204,508996,89033,0.907057036,130,0,96,97.5,1.5
OMAR_13FPS_170814143625_Ol_SCN5A_NKX2_5_Temp_21C,59,WE00071,F002,LO001,CO6,13,v1.3.1(feb22-region),329.713486,23926.66785,5895,27.38550553,5502,0.586757621,0.935700384,655244,112570,0.902968617,130,0,108,109,1
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,44,WE00057,E009,LO001,CO6,13,v1.3.1(feb22-region),330.0739787,3100.60808,8543,27.01287402,8119,0.344285772,0.587893898,83756,19420,0.87241016,130,0,162,163.6,1.6
F2_24FPS_210719170353_OlE_HR_IPF2_2x_BQ_28C,37,WE00037,D012,LO001,CO6,24,v1.3.1(feb22-region),330.3472877,4941.425231,1696,156.9918706,3802,0.631651345,0.965590933,775764,122949,0.971108491,240,0,156,155.7,0.3
F2_24FPS_210719181906_OlE_HR_IPF2_2x_BQ_35C,30,WE00030,C006,LO001,CO6,24,v1.3.1(feb22-region),330.4027473,5356.429483,1820,17.08147453,2344,0.272451014,0.46132726,91496,23696,0.853296703,240,0,234,236.9,2.9
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,158,WE00090,H007,LO002,CO6,13,v1.3.1(feb22-region),330.8800774,7031.664248,4653,18.84565175,5593,0.376876678,0.762539325,132516,22761,0.802063185,130,0,168,167,1
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,93,WE00024,B001,LO002,CO6,13,v1.3.1(feb22-region),330.8926023,17948.47156,5326,11.74230175,6008,0.392134047,0.657469327,210756,47919,0.77975967,130,0,96,97.5,1.5
OMAR_13FPS_170829142203_Ol_GIGYF1_CCDC141_Temp_28C,19,WE00031,C007,LO001,CO6,13,v1.3.1(feb22-region),331.3947081,3312.035549,9146,58.70708905,51062,0.316535178,0.525671951,194440,27124,0.72293899,107,0,168,159,9
RANDOM_24FPS_210601190528_OlE_HR_IPF2_35C,78,WE00078,G006,LO001,CO6,24,v1.3.1(feb22-region),331.4481753,2580.557108,19894,365.2999204,62203,0.601903478,0.964414305,942677,95140,0.932643008,149,0,251,250.4,0.6
OMAR_13FPS_170908144200_Ol_UFSP1_VEPH1_Temp_28C,136,WE00066,F007,LO002,CO6,13,v1.3.1(feb22-region),331.5222025,2769.534596,2815,30.65332322,7440,0.330630919,0.559118143,84895,19395,0.903730018,130,0,174,172.6,1.4
OMAR_13FPS_170908133037_Ol_UFSP1_VEPH1_Temp_21C,153,WE00087,H010,LO002,CO6,13,v1.3.1(feb22-region),331.8591428,27761.92574,10429,15.46420411,5380,0.384233893,0.683258794,429316,65531,0.862402915,130,0,102,104.4,2.4
