DATASET,Index,WellID,Well Name,Loop,Channel,fps,version,HROI Change Intensity,Harmonic Intensity,Heart size,Intensity/Harmonic Intensity (top 5 %),Movement detection max,SNR,SNR Top 5%,Signal Intensity Top 5%,Signal intensity,Signal regional prominence,Start frame(movement),Stop frame(movement),empty frames,ground truth,Heartrate (BPM),error
200313140410_OlE_HR_IPF0_21C_2x,162,WE00066,F007,LO002,CO1,23.8,v1.4(may22-region),575.766,15.330,2990.000,5.997,6045.000,0.690,0.927,92.000,19.000,0.971,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,163,WE00067,F006,LO002,CO1,23.79,v1.4(may22-region),269.071,2.149,5585.000,4.748,4276.000,0.640,0.901,10.000,3.000,0.899,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,165,WE00069,F004,LO002,CO1,23.79,v1.4(may22-region),405.750,0.125,3703.000,54.986,35126.000,0.320,0.412,7.000,2.000,0.409,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,167,WE00071,F002,LO002,CO1,23.78,v1.4(may22-region),336.705,2.865,882.000,12.501,3825.000,0.761,0.875,36.000,8.000,0.990,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,171,WE00075,G003,LO002,CO1,23.83,v1.4(may22-region),621.939,2.634,6451.000,18.776,4355.000,0.409,0.583,49.000,8.000,0.839,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,173,WE00077,G005,LO002,CO1,23.79,v1.4(may22-region),714.781,18.101,5935.000,7.373,4932.000,0.565,0.825,133.000,21.000,0.938,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,174,WE00078,G006,LO002,CO1,23.81,v1.4(may22-region),677.942,29.773,7831.000,3.065,7053.000,0.588,0.857,91.000,16.000,0.910,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,178,WE00082,G010,LO002,CO1,23.78,v1.4(may22-region),526.771,18.276,4792.000,3.305,3165.000,0.575,0.863,60.000,10.000,0.854,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,180,WE00084,G012,LO002,CO1,23.78,v1.4(may22-region),194.221,0.140,516.000,9.868,6179.000,0.511,0.674,1.000,1.000,1.000,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,183,WE00087,H010,LO002,CO1,23.8,v1.4(may22-region),311.946,0.071,4890.000,59.686,4768.000,0.331,0.431,4.000,1.000,0.572,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,185,WE00089,H008,LO002,CO1,23.8,v1.4(may22-region),646.492,2.924,8321.000,41.975,10963.000,0.433,0.614,123.000,15.000,0.869,0.000,239.000,0.000,96.000,96.000,0.000
200313140410_OlE_HR_IPF0_21C_2x,189,WE00093,H004,LO002,CO1,23.78,v1.4(may22-region),589.550,0.221,5625.000,160.216,6285.000,0.328,0.420,35.000,6.000,0.419,0.000,239.000,0.000,96.000,96.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,10,WE00010,A010,LO001,CO1,23.82,v1.4(may22-region),320.744,0.129,5199.000,39.851,4459.000,0.549,0.830,5.000,1.000,0.960,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,14,WE00014,B011,LO001,CO1,23.8,v1.4(may22-region),509.849,0.157,5736.000,130.116,4043.000,0.440,0.609,20.000,3.000,0.966,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,37,WE00037,D012,LO001,CO1,23.8,v1.4(may22-region),453.191,0.067,8167.000,225.095,9634.000,0.541,0.728,15.000,3.000,0.987,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,41,WE00041,D008,LO001,CO1,23.8,v1.4(may22-region),621.731,0.121,9436.000,718.309,10328.000,0.652,0.978,87.000,8.000,0.972,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,42,WE00042,D007,LO001,CO1,23.8,v1.4(may22-region),584.313,0.152,8406.000,173.032,11122.000,0.574,0.813,26.000,4.000,0.961,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,44,WE00044,D005,LO001,CO1,23.8,v1.4(may22-region),435.355,0.140,1335.000,27.104,4352.000,0.386,0.766,4.000,1.000,0.993,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,49,WE00049,E001,LO001,CO1,23.79,v1.4(may22-region),379.118,0.077,3157.000,73.394,6466.000,0.431,0.578,6.000,1.000,0.996,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,50,WE00050,E002,LO001,CO1,23.8,v1.4(may22-region),520.909,0.066,11389.000,443.504,7896.000,0.737,0.977,29.000,5.000,0.979,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,55,WE00055,E007,LO001,CO1,23.8,v1.4(may22-region),574.023,0.100,6415.000,174.086,4284.000,0.411,0.516,17.000,3.000,0.919,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,61,WE00061,F012,LO001,CO1,23.78,v1.4(may22-region),656.875,0.129,10275.000,763.963,10637.000,0.524,0.734,99.000,10.000,0.963,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,64,WE00064,F009,LO001,CO1,23.78,v1.4(may22-region),402.540,0.893,6045.000,24.666,71952.000,0.480,0.705,22.000,2.000,0.961,0.000,203.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,70,WE00070,F003,LO001,CO1,23.8,v1.4(may22-region),605.466,0.111,6902.000,688.162,12157.000,0.484,0.651,76.000,6.000,0.978,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,75,WE00075,G003,LO001,CO1,23.77,v1.4(may22-region),509.743,0.045,5321.000,414.973,6523.000,0.754,0.921,19.000,5.000,0.981,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,77,WE00077,G005,LO001,CO1,23.8,v1.4(may22-region),415.756,0.061,3423.000,317.392,3234.000,0.669,0.943,19.000,3.000,0.982,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,82,WE00082,G010,LO001,CO1,23.79,v1.4(may22-region),602.385,0.056,10412.000,1304.498,6229.000,0.697,0.986,74.000,9.000,0.978,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,89,WE00089,H008,LO001,CO1,23.81,v1.4(may22-region),615.896,0.276,11832.000,120.496,11120.000,0.507,0.757,33.000,5.000,0.927,0.000,239.000,0.000,155.000,155.000,0.000
200313152204_OlE_HR_IPF0_28C_2x,95,WE00095,H002,LO001,CO1,23.77,v1.4(may22-region),553.252,0.207,5638.000,83.630,5933.000,0.525,0.708,17.000,4.000,0.951,0.000,239.000,0.000,155.000,155.000,0.000
